id,pclass,age,sex,survived
1,1st,adult,male,yes
2,1st,adult,male,yes
3,1st,adult,male,yes
4,1st,adult,male,yes
5,1st,adult,male,yes
6,1st,adult,male,yes
7,1st,adult,male,yes
8,1st,adult,male,yes
9,1st,adult,male,yes
10,1st,adult,male,yes
11,1st,adult,male,yes
12,1st,adult,male,yes
13,1st,adult,male,yes
14,1st,adult,male,yes
15,1st,adult,male,yes
16,1st,adult,male,yes
17,1st,adult,male,yes
18,1st,adult,male,yes
19,1st,adult,male,yes
20,1st,adult,male,yes
21,1st,adult,male,yes
22,1st,adult,male,yes
23,1st,adult,male,yes
24,1st,adult,male,yes
25,1st,adult,male,yes
26,1st,adult,male,yes
27,1st,adult,male,yes
28,1st,adult,male,yes
29,1st,adult,male,yes
30,1st,adult,male,yes
31,1st,adult,male,yes
32,1st,adult,male,yes
33,1st,adult,male,yes
34,1st,adult,male,yes
35,1st,adult,male,yes
36,1st,adult,male,yes
37,1st,adult,male,yes
38,1st,adult,male,yes
39,1st,adult,male,yes
40,1st,adult,male,yes
41,1st,adult,male,yes
42,1st,adult,male,yes
43,1st,adult,male,yes
44,1st,adult,male,yes
45,1st,adult,male,yes
46,1st,adult,male,yes
47,1st,adult,male,yes
48,1st,adult,male,yes
49,1st,adult,male,yes
50,1st,adult,male,yes
51,1st,adult,male,yes
52,1st,adult,male,yes
53,1st,adult,male,yes
54,1st,adult,male,yes
55,1st,adult,male,yes
56,1st,adult,male,yes
57,1st,adult,male,yes
58,1st,adult,male,no
59,1st,adult,male,no
60,1st,adult,male,no
61,1st,adult,male,no
62,1st,adult,male,no
63,1st,adult,male,no
64,1st,adult,male,no
65,1st,adult,male,no
66,1st,adult,male,no
67,1st,adult,male,no
68,1st,adult,male,no
69,1st,adult,male,no
70,1st,adult,male,no
71,1st,adult,male,no
72,1st,adult,male,no
73,1st,adult,male,no
74,1st,adult,male,no
75,1st,adult,male,no
76,1st,adult,male,no
77,1st,adult,male,no
78,1st,adult,male,no
79,1st,adult,male,no
80,1st,adult,male,no
81,1st,adult,male,no
82,1st,adult,male,no
83,1st,adult,male,no
84,1st,adult,male,no
85,1st,adult,male,no
86,1st,adult,male,no
87,1st,adult,male,no
88,1st,adult,male,no
89,1st,adult,male,no
90,1st,adult,male,no
91,1st,adult,male,no
92,1st,adult,male,no
93,1st,adult,male,no
94,1st,adult,male,no
95,1st,adult,male,no
96,1st,adult,male,no
97,1st,adult,male,no
98,1st,adult,male,no
99,1st,adult,male,no
100,1st,adult,male,no
101,1st,adult,male,no
102,1st,adult,male,no
103,1st,adult,male,no
104,1st,adult,male,no
105,1st,adult,male,no
106,1st,adult,male,no
107,1st,adult,male,no
108,1st,adult,male,no
109,1st,adult,male,no
110,1st,adult,male,no
111,1st,adult,male,no
112,1st,adult,male,no
113,1st,adult,male,no
114,1st,adult,male,no
115,1st,adult,male,no
116,1st,adult,male,no
117,1st,adult,male,no
118,1st,adult,male,no
119,1st,adult,male,no
120,1st,adult,male,no
121,1st,adult,male,no
122,1st,adult,male,no
123,1st,adult,male,no
124,1st,adult,male,no
125,1st,adult,male,no
126,1st,adult,male,no
127,1st,adult,male,no
128,1st,adult,male,no
129,1st,adult,male,no
130,1st,adult,male,no
131,1st,adult,male,no
132,1st,adult,male,no
133,1st,adult,male,no
134,1st,adult,male,no
135,1st,adult,male,no
136,1st,adult,male,no
137,1st,adult,male,no
138,1st,adult,male,no
139,1st,adult,male,no
140,1st,adult,male,no
141,1st,adult,male,no
142,1st,adult,male,no
143,1st,adult,male,no
144,1st,adult,male,no
145,1st,adult,male,no
146,1st,adult,male,no
147,1st,adult,male,no
148,1st,adult,male,no
149,1st,adult,male,no
150,1st,adult,male,no
151,1st,adult,male,no
152,1st,adult,male,no
153,1st,adult,male,no
154,1st,adult,male,no
155,1st,adult,male,no
156,1st,adult,male,no
157,1st,adult,male,no
158,1st,adult,male,no
159,1st,adult,male,no
160,1st,adult,male,no
161,1st,adult,male,no
162,1st,adult,male,no
163,1st,adult,male,no
164,1st,adult,male,no
165,1st,adult,male,no
166,1st,adult,male,no
167,1st,adult,male,no
168,1st,adult,male,no
169,1st,adult,male,no
170,1st,adult,male,no
171,1st,adult,male,no
172,1st,adult,male,no
173,1st,adult,male,no
174,1st,adult,male,no
175,1st,adult,male,no
176,1st,adult,female,yes
177,1st,adult,female,yes
178,1st,adult,female,yes
179,1st,adult,female,yes
180,1st,adult,female,yes
181,1st,adult,female,yes
182,1st,adult,female,yes
183,1st,adult,female,yes
184,1st,adult,female,yes
185,1st,adult,female,yes
186,1st,adult,female,yes
187,1st,adult,female,yes
188,1st,adult,female,yes
189,1st,adult,female,yes
190,1st,adult,female,yes
191,1st,adult,female,yes
192,1st,adult,female,yes
193,1st,adult,female,yes
194,1st,adult,female,yes
195,1st,adult,female,yes
196,1st,adult,female,yes
